Date,Name,Nationality,Cause of death
10/4/1986,Gyalu,Nepal,Crushed under serac
9/28/1986,Simon Burkhardt,Switzerland,Avalanche
8/16/1986,Víctor Hugo Trujillo,Chile,Avalanche
10/11/1985,M.U. Bhaskar Rao,India,Exposure
10/11/1985,Vijay Pal Singh Negi,India,Exposure
10/11/1985,Ranjeet Singh Bakshi,India,Exposure
10/11/1985,Jai Bahugana,India,Exposure
10/7/1985,Kiran Inder Kumar,India,Fall
9/19/1985,Shinichi Ishii,Japan,Avalanche
5/12/1985,Juanjo Navarro,Spain,Fall
10/24/1984,Yogendra Bahadur Thapa,Nepal,Fall
10/24/1984,Ang Dorje,Nepal,Fall
10/16/1984,Jozef Psotka,Czechoslovakia,Fall
10/9/1984,Craig Nottle,Australia,Fall
10/9/1984,William (Fred) From,Australia,"Fall, while searching for Craig Nottle"
4/21/1984,Hristo Ivanov Prodanov,Bulgaria,Disappearance (likely accidental death during descent)
4/3/1984,Tony Swierzy,United Kingdom,Avalanche
3/26/1984,Ang Rinji,Nepal,Avalanche
10/9/1983,Hiroshi Yoshino,Japan,Fall
10/8/1983,Pasang Temba,Nepal,Fall
10/8/1983,Hironobu Kamuro,Japan,Fall
12/28/1982,Toshiaki Kobayashi,Japan,Disappearance (likely accidental death during climb)
12/28/1982,Yasuo Kato,Japan,Disappearance (likely accidental death during climb)
10/14/1982,Nima Dorje,Nepal,Fall
9/27/1982,Lhakpa Tshering,Nepal,Internal hemorrhage
9/2/1982,Blair Griffiths,Canada,Crushed under serac
8/31/1982,Pasang Sona,Nepal,Avalanche
8/31/1982,Dawa Dorje,Nepal,Avalanche
8/31/1982,Ang Chuldim,Nepal,Avalanche
5/17/1982,Joe Tasker,United Kingdom,Disappearance (likely accidental death during climb)
5/17/1982,Peter Boardman,United Kingdom,Disappearance (likely accidental death during climb)
5/15/1982,Marty Hoey,United States,Fall
1/12/1981,Noboru Takenaka,Japan,Fall
9/22/1980,Mario Piana,Italy,Crushed under serac
9/6/1980,Nawang Kersang,Nepal,Fall
5/2/1980,Akira Ube,Japan,Avalanche
10/12/1979,Nima Thaxi [note 6],China,Avalanche
10/12/1979,Lou Lan [note 5],China,Avalanche
10/12/1979,Wang Hong-bao,China,Avalanche
10/2/1979,Hannelore Schmatz,West Germany,"Exposure, exhaustion"
10/2/1979,Ray Genet,United States,"Exposure, exhaustion"
5/16/1979,Ang Phu,Nepal,Fall
4/18/1978,Shi Ming-ji,China,Fall into a crevasse
4/18/1978,Dawa Nuru,Nepal,Fall into a crevasse
4/10/1976,Terry Thompson,United Kingdom,Fall into a crevasse
